time,ax,ay,az,fx,fy,fz,tx,ty,tz
8906,-0.352434,0,-9.65628,-0.883654,-0.721663,-4.86227,-0.276336,-0.257327,0.00104539
8907,-0.355151,0,-9.65507,-0.88421,-0.721921,-4.86136,-0.276472,-0.257526,0.00091925
8908,-0.357867,0,-9.65386,-0.884201,-0.722293,-4.86133,-0.276339,-0.257443,0.00121743
8909,-0.360581,0,-9.65265,-0.881982,-0.723629,-4.86221,-0.276176,-0.257354,0.00128422
8910,-0.363294,0,-9.65144,-0.879981,-0.72451,-4.86416,-0.275998,-0.257063,0.00129629
8911,-0.366005,0,-9.65023,-0.880099,-0.72448,-4.86587,-0.275931,-0.256771,0.00153142
8912,-0.368715,0,-9.64902,-0.878884,-0.724998,-4.86661,-0.276007,-0.256729,0.00140619
8913,-0.371423,0,-9.64781,-0.879805,-0.725059,-4.86581,-0.276149,-0.256739,0.0014134
8914,-0.374129,0,-9.6466,-0.880444,-0.724531,-4.86586,-0.276251,-0.256895,0.0012818
8915,-0.376834,0,-9.64539,-0.881482,-0.724928,-4.86507,-0.276294,-0.25685,0.00146642
8916,-0.379538,0,-9.64419,-0.880735,-0.725522,-4.86494,-0.276236,-0.256825,0.00145301
8917,-0.38224,0,-9.64298,-0.88035,-0.726305,-4.86476,-0.276125,-0.256774,0.0015821
8918,-0.38494,0,-9.64177,-0.879606,-0.726767,-4.86497,-0.276177,-0.256975,0.0013893
8919,-0.387639,0,-9.64056,-0.881166,-0.72616,-4.86429,-0.276273,-0.257164,0.00140505
8920,-0.390336,0,-9.63936,-0.882071,-0.725953,-4.86324,-0.276438,-0.257385,0.00121291
8921,-0.393032,0,-9.63815,-0.882882,-0.725746,-4.86235,-0.276569,-0.257574,0.00106241
8922,-0.395726,0,-9.63695,-0.883022,-0.725674,-4.86243,-0.276613,-0.257639,0.000944948
8923,-0.398418,0,-9.63574,-0.882628,-0.725529,-4.8634,-0.276545,-0.257508,0.00116423
8924,-0.401109,0,-9.63454,-0.882248,-0.725395,-4.86519,-0.276314,-0.257112,0.00138896
8925,-0.403799,0,-9.63333,-0.880615,-0.726402,-4.86651,-0.276167,-0.256766,0.00128888
8926,-0.406487,0,-9.63213,-0.880268,-0.727154,-4.86612,-0.276056,-0.256724,0.00144349
8927,-0.409173,0,-9.63092,-0.879994,-0.727837,-4.86484,-0.276152,-0.256971,0.00151791
8928,-0.411858,0,-9.62972,-0.880463,-0.727574,-4.8646,-0.276278,-0.257123,0.00130064
8929,-0.414542,0,-9.62851,-0.882068,-0.726275,-4.86513,-0.276379,-0.256927,0.00137008
8930,-0.417223,0,-9.62731,-0.882903,-0.725313,-4.86636,-0.27641,-0.256661,0.00143412
8931,-0.419904,0,-9.62611,-0.882838,-0.725264,-4.86762,-0.276401,-0.256366,0.00142414
8932,-0.422583,0,-9.6249,-0.88262,-0.725252,-4.86804,-0.276269,-0.25641,0.00138882
8933,-0.42526,0,-9.6237,-0.883315,-0.725692,-4.86631,-0.276192,-0.256732,0.00153004
8934,-0.427936,0,-9.6225,-0.883173,-0.726798,-4.86416,-0.276273,-0.257221,0.00152795
8935,-0.43061,0,-9.6213,-0.883622,-0.727267,-4.86273,-0.276361,-0.257521,0.00149256
8936,-0.433282,0,-9.6201,-0.883946,-0.726458,-4.86338,-0.276436,-0.257563,0.00135448
8937,-0.435954,0,-9.61889,-0.884046,-0.725868,-4.86456,-0.276435,-0.257324,0.00145671
8938,-0.438623,0,-9.61769,-0.88388,-0.72571,-4.86614,-0.27642,-0.256932,0.00144066
8939,-0.441291,0,-9.61649,-0.884253,-0.725599,-4.86676,-0.276368,-0.256753,0.00167296
8940,-0.443958,0,-9.61529,-0.884209,-0.725862,-4.86627,-0.276375,-0.256993,0.00168609
8941,-0.446623,0,-9.61409,-0.884271,-0.726525,-4.86438,-0.276377,-0.257288,0.0015682
8942,-0.449287,0,-9.61289,-0.884611,-0.727059,-4.86291,-0.276454,-0.257578,0.00153097
8943,-0.451949,0,-9.61169,-0.884258,-0.727903,-4.86191,-0.276539,-0.25761,0.00150523
8944,-0.454609,0,-9.61049,-0.884143,-0.727706,-4.86284,-0.276552,-0.257392,0.00151966
8945,-0.457268,0,-9.60929,-0.884008,-0.727275,-4.86477,-0.276525,-0.256989,0.00149851
8946,-0.459926,0,-9.6081,-0.884096,-0.726365,-4.86693,-0.276483,-0.256615,0.00154825
8947,-0.462582,0,-9.6069,-0.883975,-0.726548,-4.86699,-0.276511,-0.256541,0.00155711
8948,-0.465236,0,-9.6057,-0.882629,-0.727144,-4.86678,-0.276429,-0.256737,0.00132964
8949,-0.467889,0,-9.6045,-0.882454,-0.728058,-4.86615,-0.276328,-0.256609,0.00138936
8950,-0.470541,0,-9.6033,-0.882803,-0.728261,-4.86631,-0.276308,-0.256507,0.00156103
8951,-0.473191,0,-9.60211,-0.881887,-0.727785,-4.86693,-0.276193,-0.25659,0.00170252
8952,-0.475839,0,-9.60091,-0.881666,-0.727575,-4.86727,-0.276226,-0.256609,0.00177081
8953,-0.478486,0,-9.59971,-0.88195,-0.727193,-4.86781,-0.276318,-0.256596,0.00147984
8954,-0.481132,0,-9.59852,-0.883652,-0.726898,-4.86648,-0.276444,-0.256749,0.00138776
8955,-0.483776,0,-9.59732,-0.884654,-0.727335,-4.86385,-0.276567,-0.257214,0.00138874
8956,-0.486418,0,-9.59613,-0.885563,-0.727635,-4.86167,-0.276671,-0.257611,0.0013938
8957,-0.489059,0,-9.59493,-0.886113,-0.727853,-4.86162,-0.2767,-0.257548,0.001265
8958,-0.491699,0,-9.59374,-0.885412,-0.727729,-4.86274,-0.276677,-0.257517,0.00111962
8959,-0.494337,0,-9.59254,-0.885402,-0.727009,-4.86409,-0.276632,-0.257284,0.00127652
8960,-0.496973,0,-9.59135,-0.885165,-0.727031,-4.86463,-0.276622,-0.257114,0.00133798
8961,-0.499608,0,-9.59015,-0.885099,-0.72668,-4.86557,-0.276637,-0.257028,0.00114221
8962,-0.502242,0,-9.58896,-0.885967,-0.726337,-4.8655,-0.276603,-0.256932,0.00143796
8963,-0.504874,0,-9.58776,-0.885107,-0.726929,-4.86546,-0.276587,-0.25693,0.00150677
8964,-0.507504,0,-9.58657,-0.883596,-0.726431,-4.8664,-0.276389,-0.25704,0.00177368
8965,-0.510133,0,-9.58538,-0.881634,-0.72612,-4.86801,-0.27617,-0.257036,0.00198366
8966,-0.512761,0,-9.58419,-0.880299,-0.72655,-4.86947,-0.276053,-0.256669,0.00183769
8967,-0.515387,0,-9.58299,-0.880109,-0.726472,-4.87043,-0.27611,-0.25655,0.00152608
8968,-0.518012,0,-9.5818,-0.880796,-0.726287,-4.86864,-0.276264,-0.256949,0.00140845
8969,-0.520635,0,-9.58061,-0.881341,-0.726279,-4.86706,-0.276428,-0.25738,0.00100489
8970,-0.523256,0,-9.57942,-0.882859,-0.726642,-4.86524,-0.276529,-0.257451,0.000932671
8971,-0.525877,0,-9.57823,-0.881708,-0.727196,-4.86424,-0.276407,-0.257646,0.00116034
8972,-0.528495,0,-9.57704,-0.880435,-0.727933,-4.86401,-0.276293,-0.257626,0.00123876
8973,-0.531113,0,-9.57585,-0.878108,-0.728511,-4.8667,-0.276035,-0.257196,0.00126543
8974,-0.533728,0,-9.57466,-0.87485,-0.729656,-4.86999,-0.27559,-0.256362,0.00167731
8975,-0.536343,0,-9.57347,-0.870164,-0.73036,-4.87516,-0.27498,-0.255539,0.00252708
8976,-0.538955,0,-9.57228,-0.863204,-0.731614,-4.88082,-0.274264,-0.254776,0.00339602
8977,-0.541567,0,-9.57109,-0.854435,-0.733827,-4.88677,-0.273442,-0.254123,0.00410288
8978,-0.544177,0,-9.5699,-0.84641,-0.736704,-4.89404,-0.272495,-0.252878,0.00463317
8979,-0.546785,0,-9.56871,-0.839429,-0.740509,-4.90012,-0.271844,-0.251612,0.00480855
8980,-0.549392,0,-9.56752,-0.832785,-0.742918,-4.90624,-0.271279,-0.250615,0.0049571
8981,-0.551997,0,-9.56633,-0.828619,-0.74342,-4.91301,-0.270732,-0.249438,0.00525685
8982,-0.554601,0,-9.56514,-0.825754,-0.744715,-4.91525,-0.270654,-0.249035,0.0050348
8983,-0.557204,0,-9.56396,-0.825743,-0.745098,-4.91258,-0.270985,-0.249762,0.00456924
8984,-0.559805,0,-9.56277,-0.829964,-0.743923,-4.90744,-0.271533,-0.250943,0.00410538
8985,-0.562404,0,-9.56158,-0.836933,-0.743351,-4.89801,-0.2725,-0.252593,0.00301132
8986,-0.565003,0,-9.56039,-0.847172,-0.742135,-4.88801,-0.273805,-0.254128,0.00139491
8987,-0.567599,0,-9.55921,-0.858874,-0.738723,-4.87812,-0.275127,-0.255291,-0.000714614
8988,-0.570194,0,-9.55802,-0.870912,-0.731908,-4.87183,-0.276174,-0.256186,-0.0019003
8989,-0.572788,0,-9.55684,-0.881602,-0.723671,-4.86612,-0.2771,-0.257358,-0.0024341
8990,-0.57538,0,-9.55565,-0.893336,-0.716377,-4.85945,-0.278102,-0.259133,-0.00242972
8991,-0.577971,0,-9.55447,-0.907859,-0.709705,-4.85107,-0.279209,-0.261092,-0.00276893
8992,-0.580561,0,-9.55328,-0.923357,-0.704761,-4.83771,-0.28044,-0.263655,-0.00312255
8993,-0.583149,0,-9.5521,-0.938026,-0.698911,-4.82572,-0.281519,-0.266191,-0.00309245
8994,-0.585735,0,-9.55091,-0.951078,-0.69235,-4.81739,-0.282465,-0.268149,-0.00314314
8995,-0.58832,0,-9.54973,-0.963364,-0.684973,-4.8105,-0.28333,-0.269225,-0.00344395
8996,-0.590904,0,-9.54854,-0.973558,-0.677642,-4.80658,-0.284104,-0.269716,-0.00376937
8997,-0.593486,0,-9.54736,-0.982035,-0.670711,-4.80358,-0.284551,-0.270316,-0.00397202
8998,-0.596067,0,-9.54618,-0.990762,-0.666035,-4.79808,-0.285122,-0.271166,-0.00433497
8999,-0.598646,0,-9.54499,-1.0007,-0.663141,-4.79145,-0.285692,-0.272336,-0.00436599
9000,-0.601224,0,-9.54381,-1.01032,-0.659417,-4.78512,-0.286116,-0.273738,-0.00385952
9001,-0.6038,0,-9.54263,-1.01597,-0.656719,-4.78062,-0.286468,-0.275053,-0.00366981
9002,-0.606375,0,-9.54145,-1.01908,-0.653039,-4.78022,-0.286338,-0.275072,-0.00374788
9003,-0.608948,0,-9.54026,-1.02062,-0.650116,-4.78249,-0.28613,-0.274217,-0.00327739
9004,-0.611521,0,-9.53908,-1.01722,-0.647408,-4.79014,-0.285488,-0.272594,-0.00305622
9005,-0.614091,0,-9.5379,-1.01165,-0.647947,-4.79751,-0.284686,-0.270693,-0.00275081
9006,-0.61666,0,-9.53672,-1.00454,-0.649723,-4.8037,-0.283718,-0.269231,-0.00228457
9007,-0.619228,0,-9.53554,-0.99637,-0.653232,-4.81015,-0.282556,-0.268232,-0.0012582
9008,-0.621794,0,-9.53436,-0.987164,-0.658816,-4.81505,-0.281622,-0.267151,-0.000666901
9009,-0.624359,0,-9.53318,-0.977611,-0.664147,-4.8217,-0.280664,-0.265756,-1.26426e-05
9010,-0.626923,0,-9.532,-0.966733,-0.669037,-4.82725,-0.279641,-0.264212,0.000587455
