time,r11,r12,r13,r21,r22,r23,r31,r32,r33
1219840,-6.67219e-07,-1,3.38158e-06,0.390474,-3.37366e-06,-0.920614,0.920614,7.06167e-07,0.390474
1230025,-3.09859e-07,-1,3.37038e-06,0.397576,-3.21575e-06,-0.917569,0.917569,1.05567e-06,0.397576
1239960,-3.3557e-07,-1,3.35911e-06,0.404576,-3.20768e-06,-0.914504,0.914504,1.05213e-06,0.404576
1250140,-9.84991e-07,-1,3.34744e-06,0.411705,-3.45611e-06,-0.911317,0.911317,4.8052e-07,0.411705
1259751,-9.62827e-07,-1,3.33564e-06,0.418732,-3.4323e-06,-0.90811,0.90811,5.22387e-07,0.418732
1270031,-7.73028e-07,-1,3.32358e-06,0.425783,-3.3364e-06,-0.904825,0.904825,7.15668e-07,0.425783
1280110,-7.51442e-07,-1,3.31107e-06,0.432938,-3.31e-06,-0.901424,0.901424,7.56119e-07,0.432938
1289744,-2.25791e-07,-1,3.29859e-06,0.439934,-3.06156e-06,-0.89803,0.89803,1.24839e-06,0.439934
1299835,-1.82181e-06,-1,3.28575e-06,0.447033,-3.75357e-06,-0.894518,0.894518,-1.60807e-07,0.447033
1309654,-1.21235e-06,-1,3.27275e-06,0.454026,-3.46642e-06,-0.890989,0.890989,4.05721e-07,0.454026
1320132,-9.26333e-07,-1,3.25953e-06,0.461016,-3.31954e-06,-0.887392,0.887392,6.80676e-07,0.461016
1329903,-8.56309e-07,-1,3.246e-06,0.468038,-3.2693e-06,-0.883708,0.883708,7.62523e-07,0.468038
1340126,-6.0588e-07,-1,3.23254e-06,0.474887,-3.13251e-06,-0.880047,0.880047,1.00189e-06,0.474887
1350128,-1.94977e-06,-1,3.21862e-06,0.481868,-3.75983e-06,-0.876244,0.876244,-1.57521e-07,0.481868
1359858,-7.88522e-07,-1,3.20456e-06,0.488742,-3.18113e-06,-0.872428,0.872428,8.78275e-07,0.488742
1369954,-1.5569e-06,-1,3.19033e-06,0.495607,-3.54256e-06,-0.868547,0.868547,2.28911e-07,0.495607
1379702,-1.36632e-06,-1,3.17576e-06,0.502493,-3.43227e-06,-0.864581,0.864581,4.14504e-07,0.502493
1389821,-1.51095e-06,-1,3.16124e-06,0.509232,-3.49008e-06,-0.860629,0.860629,3.09435e-07,0.509232
1400142,-1.33242e-06,-1,3.14624e-06,0.516073,-3.38253e-06,-0.856545,0.856545,4.82411e-07,0.516073
1409951,-1.52482e-06,-1,3.13124e-06,0.52279,-3.46642e-06,-0.852462,0.852462,3.37126e-07,0.52279
1420142,-1.36973e-06,-1,3.11598e-06,0.529508,-3.36858e-06,-0.848305,0.848305,4.87987e-07,0.529508
1429781,-1.5862e-06,-1,3.10046e-06,0.53622,-3.46758e-06,-0.844078,0.844078,3.23655e-07,0.53622
1440064,-2.11361e-06,-1,3.08505e-06,0.542775,-3.73827e-06,-0.839878,0.839878,-1.00686e-07,0.542775
1450181,-1.53871e-06,-1,3.06911e-06,0.549425,-3.40978e-06,-0.835543,0.835543,4.0059e-07,0.549425
1459966,-1.65864e-06,-1,3.05323e-06,0.555942,-3.46002e-06,-0.831221,0.831221,3.18725e-07,0.555942
1470106,-1.40677e-06,-1,3.03712e-06,0.562448,-3.30243e-06,-0.826833,0.826833,5.45055e-07,0.562448
1479777,-1.82624e-06,-1,3.02078e-06,0.568933,-3.52325e-06,-0.822384,0.822384,2.16752e-07,0.568933
