time,r11,r12,r13,r21,r22,r23,r31,r32,r33
1685292,-3.78524e-06,-1,-4.55834e-06,0.693555,6.58574e-07,-0.720403,0.720403,-5.88836e-06,0.693555
1695198,-4.25361e-06,-1,-4.52442e-06,0.699092,2.61438e-07,-0.715032,0.715032,-6.20445e-06,0.699092
1704802,-4.18231e-06,-1,-4.48955e-06,0.704672,2.38333e-07,-0.709533,0.709533,-6.13115e-06,0.704672
1715121,-4.78298e-06,-1,-4.4549e-06,0.71012,-2.59889e-07,-0.70408,0.70408,-6.53112e-06,0.71012
1724997,-4.86787e-06,-1,-4.41929e-06,0.715651,-3.97013e-07,-0.698458,0.698458,-6.56267e-06,0.715651
1734853,-3.70678e-06,-1,-4.38344e-06,0.721128,3.6379e-07,-0.692801,0.692801,-5.72908e-06,0.721128
1745221,-3.85261e-06,-1,-4.34791e-06,0.726492,1.88883e-07,-0.687175,0.687175,-5.80614e-06,0.726492
1754886,-4.16659e-06,-1,-4.31211e-06,0.731794,-1.10272e-07,-0.681526,0.681526,-5.99521e-06,0.731794
1765089,-4.52927e-06,-1,-4.27676e-06,0.736952,-4.47003e-07,-0.675945,0.675945,-6.21331e-06,0.736952
1774881,-4.79612e-06,-1,-4.24075e-06,0.742138,-7.1703e-07,-0.670248,0.670248,-6.3618e-06,0.742138
1785053,-3.91306e-06,-1,-4.20471e-06,0.747229,-1.29638e-07,-0.664567,0.664567,-5.74237e-06,0.747229
1794814,-3.22178e-06,-1,-4.16799e-06,0.752324,3.22025e-07,-0.658794,0.658794,-5.25817e-06,0.752324
1805165,-3.50051e-06,-1,-4.13012e-06,0.757491,4.47225e-08,-0.652845,0.652845,-5.41382e-06,0.757491
1815173,-3.92395e-06,-1,-4.09205e-06,0.762555,-3.44988e-07,-0.646923,0.646923,-5.65891e-06,0.762555
1825183,-4.22679e-06,-1,-4.05298e-06,0.767714,-6.4785e-07,-0.640793,0.640793,-5.82002e-06,0.767714
1834717,-3.57134e-06,-1,-4.01375e-06,0.772826,-2.12826e-07,-0.634618,0.634618,-5.36836e-06,0.772826
1845236,-3.59863e-06,-1,-3.97377e-06,0.777979,-3.02975e-07,-0.628291,0.628291,-5.35249e-06,0.777979
1854839,-3.26668e-06,-1,-3.93348e-06,0.783108,-1.11983e-07,-0.621886,0.621886,-5.11184e-06,0.783108
1864823,-4.52918e-06,-1,-3.89283e-06,0.788136,-1.17356e-06,-0.615502,0.615502,-5.85579e-06,0.788136
1874846,-3.25128e-06,-1,-3.85268e-06,0.793123,-2.32148e-07,-0.609061,0.609061,-5.03588e-06,0.793123
1884873,-3.10129e-06,-1,-3.81339e-06,0.79788,-1.7568e-07,-0.602816,0.602816,-4.91214e-06,0.79788
1894815,-3.27554e-06,-1,-3.77434e-06,0.802531,-3.76914e-07,-0.596611,0.596611,-4.98325e-06,0.802531
1904928,-4.16894e-06,-1,-3.73453e-06,0.807174,-1.16052e-06,-0.590313,0.590313,-5.4754e-06,0.807174
1915238,-4.73959e-06,-1,-3.695e-06,0.811707,-1.68904e-06,-0.584065,0.584065,-5.76748e-06,0.811707
1924661,-3.82354e-06,-1,-3.65428e-06,0.816306,-1.01039e-06,-0.57762,0.57762,-5.19157e-06,0.816306
1934813,-2.29715e-06,-1,-3.61394e-06,0.820786,1.78939e-07,-0.571236,0.571236,-4.27849e-06,0.820786
1945079,-3.10794e-06,-1,-3.57319e-06,0.825245,-5.46766e-07,-0.564775,0.564775,-4.70405e-06,0.825245
1954853,-3.54761e-06,-1,-3.53229e-06,0.829628,-9.71064e-07,-0.558317,0.558317,-4.91118e-06,0.829628
1964897,-4.38313e-06,-1,-3.49147e-06,0.833928,-1.72837e-06,-0.551873,0.551873,-5.33056e-06,0.833928
1975098,-3.39687e-06,-1,-3.44955e-06,0.838282,-9.66715e-07,-0.545237,0.545237,-4.74379e-06,0.838282
1985215,-3.11827e-06,-1,-3.40754e-06,0.84256,-7.92025e-07,-0.538602,0.538602,-4.55057e-06,0.84256
1995336,-3.57074e-06,-1,-3.36533e-06,0.846797,-1.23362e-06,-0.531916,0.531916,-4.74908e-06,0.846797
2004839,-3.60437e-06,-1,-3.32315e-06,0.850947,-1.32164e-06,-0.525252,0.525252,-4.72102e-06,0.850947
2014971,-3.59086e-06,-1,-3.28147e-06,0.854986,-1.3682e-06,-0.518651,0.518651,-4.66801e-06,0.854986
2025039,-3.08583e-06,-1,-3.23895e-06,0.85903,-9.92723e-07,-0.511925,0.511925,-4.36207e-06,0.85903
2035178,-2.13815e-06,-1,-3.19673e-06,0.862966,-2.29965e-07,-0.505262,0.505262,-3.839e-06,0.862966
2045288,-2.97644e-06,-1,-3.15445e-06,0.866855,-1.00745e-06,-0.498561,0.498561,-4.21839e-06,0.866855
2054850,-3.16801e-06,-1,-3.11198e-06,0.87068,-1.22769e-06,-0.49185,0.49185,-4.26772e-06,0.87068
2065076,-3.7912e-06,-1,-3.06928e-06,0.874461,-1.82637e-06,-0.485095,0.485095,-4.52306e-06,0.874461
2075190,-3.16782e-06,-1,-3.02523e-06,0.878288,-1.3358e-06,-0.478133,0.478133,-4.17166e-06,0.878288
2085281,-2.60487e-06,-1,-2.9813e-06,0.882026,-8.92775e-07,-0.4712,0.4712,-3.857e-06,0.882026
2094818,-3.39617e-06,-1,-2.93689e-06,0.885759,-1.64504e-06,-0.464146,0.464146,-4.17769e-06,0.885759
2105034,-3.50472e-06,-1,-2.89216e-06,0.889425,-1.79523e-06,-0.457081,0.457081,-4.1743e-06,0.889425
2115306,-3.66181e-06,-1,-2.8476e-06,0.893009,-1.9885e-06,-0.450038,0.450038,-4.19089e-06,0.893009
2125050,-2.65671e-06,-1,-2.80251e-06,0.896566,-1.14066e-06,-0.442909,0.442909,-3.68932e-06,0.896566
2134860,-2.25141e-06,-1,-2.75813e-06,0.899992,-8.23969e-07,-0.435906,0.435906,-3.4637e-06,0.899992
2145223,-2.74529e-06,-1,-2.71342e-06,0.903389,-1.31649e-06,-0.428821,0.428821,-3.62852e-06,0.903389
2155203,-3.55117e-06,-1,-2.66846e-06,0.906722,-2.09455e-06,-0.421729,0.421729,-3.91718e-06,0.906722
2164945,-3.55442e-06,-1,-2.62365e-06,0.909984,-2.14658e-06,-0.414644,0.414644,-3.86129e-06,0.909984
2175191,-2.44337e-06,-1,-2.57832e-06,0.913214,-1.18071e-06,-0.407479,0.407479,-3.35018e-06,0.913214
2185024,-2.08815e-06,-1,-2.53365e-06,0.916331,-8.9891e-07,-0.400422,0.400422,-3.1578e-06,0.916331
2195004,-3.41084e-06,-1,-2.48837e-06,0.919435,-2.15752e-06,-0.393241,0.393241,-3.62918e-06,0.919435
2205335,1.32121e-05,-1,-1.0165e-05,0.922458,1.61123e-05,-0.386097,0.386097,-4.27566e-06,0.922458
