time,fx,fy,fz,tx,ty,tz
214083,-0.021131,-1.02975,9.62081,0.423542,-1.09285,-0.160888
215544,0.951105,-0.846401,9.67642,0.414908,-1.03042,-0.160284
216984,1.05659,-0.833578,9.58328,0.40917,-1.01947,-0.159608
218395,0.544663,-1.01373,9.64645,0.429965,-1.04464,-0.160048
219818,-0.530036,-0.753197,9.72583,0.402508,-1.10471,-0.160423
221243,-1.22983,-1.01286,9.84366,0.426157,-1.14733,-0.157475
222703,-1.07367,-1.02075,9.77814,0.422085,-1.14091,-0.158962
224108,-0.470735,-0.91067,9.67683,0.411544,-1.12152,-0.160267
225545,0.653528,-1.09316,9.61107,0.432815,-1.04103,-0.15844
227007,0.810968,-0.704481,9.54716,0.400509,-1.03464,-0.158499
228448,0.24398,-1.01542,9.49555,0.425054,-1.05141,-0.160001
229808,-1.05186,-0.970173,9.57748,0.419758,-1.12841,-0.159497
231300,-1.92177,-0.812376,9.69386,0.409942,-1.18423,-0.157589
232736,-1.81263,-1.09855,9.64292,0.428111,-1.17301,-0.158562
234152,-1.22824,-0.944977,9.59576,0.419897,-1.16084,-0.159978
235597,-0.123641,-0.74565,9.54861,0.403314,-1.07889,-0.15906
237029,0.212315,-0.94998,9.46766,0.420177,-1.06502,-0.158403
238461,-0.014516,-0.964786,9.42311,0.423821,-1.06462,-0.159029
239855,-1.30408,-0.778685,9.62456,0.405046,-1.14036,-0.157478
241324,-2.17896,-1.00588,9.62791,0.427546,-1.18398,-0.155165
242728,-2.43297,-0.896756,9.62687,0.414708,-1.2137,-0.156247
244167,-1.66939,-0.745545,9.652,0.408181,-1.17033,-0.157884
245605,-0.582259,-0.878253,9.5353,0.419998,-1.1155,-0.154717
247070,0.259092,-0.685153,9.68139,0.396477,-1.05607,-0.157896
248489,0.064959,-1.02593,9.58518,0.428511,-1.0697,-0.158434
249934,-0.769254,-0.87812,9.83453,0.415664,-1.10726,-0.157454
251369,-1.70599,-0.707842,10.0497,0.402809,-1.16923,-0.155695
252774,-1.68146,-1.2084,9.82191,0.438085,-1.17248,-0.157284
254212,-0.80198,-0.826944,9.98041,0.41043,-1.13136,-0.157203
255658,0.139899,-0.772664,9.91201,0.406437,-1.07807,-0.154933
257095,1.01358,-1.04147,9.78998,0.427893,-1.02061,-0.157486
258552,0.515652,-0.882635,9.94324,0.415799,-1.0565,-0.158356
259942,-0.179802,-0.873533,10.0041,0.41139,-1.07721,-0.156509
261366,-1.13318,-1.08161,10.1073,0.432506,-1.14552,-0.15501
262793,-0.921033,-0.930706,10.0271,0.416392,-1.13365,-0.158246
264229,-0.233205,-0.794309,10.1963,0.410499,-1.10799,-0.156765
265646,0.969591,-1.05356,9.92437,0.427856,-1.04314,-0.155768
267052,1.95278,-0.851317,9.93777,0.413917,-0.977908,-0.156787
268528,1.78741,-0.881773,10.0143,0.414019,-0.991998,-0.157988
269978,0.933294,-1.19086,9.7237,0.438729,-1.01309,-0.157942
271408,-0.705458,-0.877894,9.84567,0.412965,-1.12828,-0.155829
272854,-1.07103,-0.823151,9.66151,0.410353,-1.13349,-0.157853
274283,-1.10004,-0.72152,9.54456,0.407449,-1.15825,-0.155652
275714,0.33871,-0.800246,9.49094,0.408179,-1.07195,-0.155922
277113,1.32455,-0.915659,9.55649,0.419033,-1.0111,-0.15756
278572,1.44619,-0.887473,9.60401,0.412822,-1.00733,-0.159574
279987,0.67027,-1.21448,9.56489,0.438566,-1.02324,-0.158884
281453,-1.12959,-0.911003,9.36301,0.418372,-1.1509,-0.156811
282890,-1.41899,-0.591659,9.46134,0.395549,-1.1445,-0.158385
284296,-1.61694,-0.673,9.26793,0.406526,-1.18894,-0.155867
285681,-0.054792,-0.897209,9.14676,0.418954,-1.08652,-0.156313
287168,0.860127,-0.885356,9.52305,0.416093,-1.03729,-0.157258
288554,1.20198,-1.01453,9.43658,0.420859,-1.02005,-0.157918
290005,0.654,-1.24769,9.52448,0.441055,-1.02949,-0.156455
291443,-0.73188,-0.742585,9.47256,0.406219,-1.13597,-0.155227
292905,-0.571053,-0.531741,9.56776,0.395753,-1.10561,-0.15793
294312,-0.424163,-0.905655,9.44219,0.416145,-1.12835,-0.155603
295760,1.01238,-1.03294,9.56187,0.425768,-1.02821,-0.157536
297218,1.40392,-0.932403,9.75279,0.413033,-1.01373,-0.157579
298633,1.36897,-1.21172,9.53596,0.440264,-1.00801,-0.159691
300041,0.371192,-1.03722,9.62099,0.422442,-1.04956,-0.156801
301487,-0.79917,-0.721507,9.67618,0.406147,-1.12834,-0.156066
302928,-1.00185,-0.898899,9.58392,0.41285,-1.13145,-0.159039
304363,-0.965239,-0.893221,9.82641,0.418656,-1.14995,-0.156576
305797,0.331051,-1.09793,9.64679,0.422003,-1.06231,-0.15592
307217,0.927669,-1.19655,9.81526,0.43562,-1.03352,-0.158536
308629,0.678791,-1.07052,9.55402,0.424668,-1.03165,-0.158986
310093,-0.698282,-1.00378,9.55175,0.424575,-1.10244,-0.154615
311530,-2.05789,-0.637936,9.55757,0.402087,-1.18202,-0.155885
312945,-2.65015,-0.73814,9.47278,0.406552,-1.21976,-0.156933
314327,-2.44067,-0.900054,9.67369,0.417548,-1.21325,-0.155917
315802,-1.17035,-0.818494,9.71797,0.405062,-1.13999,-0.155781
317207,-0.151181,-1.16875,9.78755,0.431751,-1.08128,-0.157845
318652,-0.04451,-1.09222,9.65016,0.431838,-1.07087,-0.15695
320059,-1.04986,-0.71339,9.70696,0.406135,-1.11064,-0.155657
321486,-2.42987,-0.669366,9.73258,0.406014,-1.20585,-0.154358
322930,-2.84723,-0.783274,9.63661,0.413349,-1.22045,-0.156175
324368,-2.5779,-0.609165,9.90551,0.398837,-1.22223,-0.15589
325812,-1.15794,-0.879913,9.90837,0.417539,-1.13992,-0.157548
327223,-0.162697,-1.22367,9.85371,0.432211,-1.08221,-0.159618
328650,0.030068,-1.07302,9.86771,0.429795,-1.06745,-0.158073
330097,-0.672569,-0.753964,9.85507,0.405132,-1.08945,-0.155667
331530,-2.05835,-0.721125,9.92541,0.407754,-1.18955,-0.15567
332947,-2.32627,-0.844072,9.77512,0.415198,-1.19323,-0.157067
334384,-2.36518,-0.759399,10.0902,0.407326,-1.21702,-0.155173
335822,-0.959361,-0.957854,10.0816,0.415903,-1.12871,-0.15732
337278,-0.012936,-1.3918,9.91793,0.444517,-1.08033,-0.159131
338710,0.3872,-1.09284,9.91079,0.4317,-1.05039,-0.157814
340116,-0.071259,-0.706117,9.97552,0.399153,-1.06264,-0.156662
341591,-1.32747,-0.900495,9.78428,0.422137,-1.14794,-0.156006
343013,-1.88214,-0.760489,9.7602,0.410951,-1.17261,-0.158114
344446,-2.05699,-0.564679,10.066,0.393601,-1.20042,-0.15628
345882,-0.855031,-1.16399,9.82061,0.438549,-1.13003,-0.157558
347313,0.269094,-1.0542,9.83399,0.426161,-1.06141,-0.158415
348732,0.398316,-0.913822,9.81315,0.411375,-1.05286,-0.1585
350142,-0.076088,-0.969247,9.50211,0.424744,-1.05982,-0.157262
351607,-1.40374,-0.533616,9.56422,0.393622,-1.15818,-0.156156
353027,-1.69192,-0.577359,9.48391,0.402941,-1.15871,-0.156502
354425,-1.86957,-0.774058,9.61991,0.408352,-1.19238,-0.156203
355866,-0.58368,-0.924937,9.6877,0.416586,-1.11348,-0.158892
357328,0.400279,-1.20868,9.58496,0.435299,-1.05487,-0.158088
358756,0.652571,-0.844326,9.60655,0.411609,-1.04649,-0.157849
360206,0.318817,-0.916961,9.44958,0.418858,-1.03601,-0.157887
361618,-1.14057,-0.80911,9.32373,0.413229,-1.15327,-0.156735
363055,-1.12125,-0.49325,9.51947,0.389499,-1.12593,-0.156862
364500,-1.56132,-0.868161,9.46427,0.415575,-1.18458,-0.153418
365909,-0.107077,-1.2567,9.39207,0.437833,-1.08544,-0.159009
367331,0.623724,-1.07197,9.59568,0.423214,-1.05215,-0.157873
368797,0.990807,-1.12046,9.48516,0.426486,-1.02581,-0.158242
370202,0.501609,-1.10831,9.3918,0.431256,-1.03171,-0.157412
371658,-0.942262,-0.775211,9.37052,0.404773,-1.14051,-0.15809
373086,-1.06129,-0.727555,9.57419,0.404645,-1.12545,-0.158556
