time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
51588,0.984905,0.0689341,0.0163289,-0.0968371,-0.927125,10.0833,0.425207,-1.0953,-0.148794,8.90807,-0.296866,10.2326,0.397476,-0.699087,-0.148794
52468,0.980879,0.064086,0.0186064,-0.0968371,-0.927125,10.0833,0.425207,-1.0953,-0.148794,8.87126,-0.341191,10.2534,0.399426,-0.700707,-0.148794
53017,0.980879,0.0640861,0.0186081,-0.105735,-0.909703,10.077,0.425,-1.09548,-0.14912,8.86236,-0.323769,10.2471,0.399219,-0.700881,-0.14912
54458,0.980879,0.0640862,0.0186098,-0.0903772,-0.88073,10.0755,0.424411,-1.09502,-0.148637,8.87772,-0.294794,10.2456,0.39863,-0.700427,-0.148637
55864,0.980879,0.0640864,0.0186114,-0.0698847,-0.913571,10.0705,0.424729,-1.09459,-0.148448,8.89821,-0.327635,10.2407,0.398948,-0.69999,-0.148448
56411,0.980333,0.0622689,0.0198318,-0.0698847,-0.913571,10.0705,0.424729,-1.09459,-0.148448,8.89322,-0.344252,10.2519,0.399679,-0.700209,-0.148448
57298,0.980333,0.062269,0.0198335,-0.0479369,-0.935249,10.0679,0.424991,-1.09405,-0.148758,8.91517,-0.365929,10.2492,0.399941,-0.699675,-0.148758
58752,0.980333,0.0622691,0.0198351,-0.0573728,-0.946989,10.0749,0.425289,-1.09405,-0.148242,8.90573,-0.377668,10.2563,0.400239,-0.699677,-0.148242
59829,0.980333,0.0622691,0.0198351,-0.0573728,-0.946989,10.0749,0.425289,-1.09405,-0.148242,8.90573,-0.377668,10.2563,0.400239,-0.699677,-0.148242
60175,0.980333,0.0622693,0.019839,-0.0615934,-0.95578,10.0692,0.425632,-1.09375,-0.148037,8.90151,-0.386457,10.2506,0.400582,-0.699377,-0.148037
60366,0.980118,0.0618759,0.024006,-0.0615934,-0.95578,10.0692,0.425632,-1.09375,-0.148037,8.89955,-0.390054,10.2887,0.40074,-0.699463,-0.148037
61638,0.980118,0.0618761,0.0240099,-0.0887247,-0.942566,10.0681,0.425508,-1.09395,-0.148082,8.87242,-0.376838,10.2876,0.400616,-0.699656,-0.148082
63083,0.980118,0.0618763,0.0240138,-0.106256,-0.936345,10.0663,0.425489,-1.09404,-0.147725,8.85489,-0.370616,10.2859,0.400597,-0.699749,-0.147725
64308,0.978996,0.0705941,0.0206893,-0.106256,-0.936345,10.0663,0.425489,-1.09404,-0.147725,8.84463,-0.290909,10.2555,0.39709,-0.7002,-0.147725
64473,0.978996,0.0705943,0.0206932,-0.104486,-0.930206,10.0674,0.425531,-1.09384,-0.147928,8.8464,-0.284768,10.2566,0.397132,-0.699997,-0.147928
65914,0.978996,0.0705945,0.0206971,-0.0994048,-0.951102,10.0674,0.425758,-1.09364,-0.148162,8.85148,-0.305662,10.2566,0.397358,-0.699804,-0.148162
67343,0.978996,0.0705947,0.020701,-0.0967389,-0.974853,10.0745,0.426295,-1.09353,-0.148,8.85414,-0.329412,10.2638,0.397895,-0.699692,-0.148
68252,0.980929,0.0711391,0.0189139,-0.0967389,-0.974853,10.0745,0.426295,-1.09353,-0.148,8.87182,-0.324434,10.2474,0.397676,-0.698915,-0.148
68797,0.980929,0.0711393,0.0189178,-0.126789,-0.967245,10.0797,0.426161,-1.09382,-0.147881,8.84177,-0.316824,10.2527,0.397542,-0.699203,-0.147881
70031,0.980929,0.0711393,0.0189178,-0.126789,-0.967245,10.0797,0.426161,-1.09382,-0.147881,8.84177,-0.316824,10.2527,0.397542,-0.699203,-0.147881
70211,0.980929,0.0711391,0.0189243,-0.14132,-0.958315,10.0811,0.426247,-1.09376,-0.148144,8.82724,-0.307896,10.2541,0.397628,-0.699144,-0.148144
71618,0.980929,0.0711389,0.0189308,-0.172987,-0.954508,10.0826,0.426251,-1.09427,-0.147976,8.79557,-0.30409,10.2557,0.397633,-0.69965,-0.147976
72187,0.981688,0.0712566,0.0217039,-0.172987,-0.954508,10.0826,0.426251,-1.09427,-0.147976,8.8025,-0.303015,10.2811,0.397586,-0.699345,-0.147976
73052,0.981688,0.0712564,0.0217104,-0.186776,-0.942155,10.0915,0.426099,-1.09432,-0.147981,8.78871,-0.290663,10.29,0.397433,-0.699399,-0.147981
74493,0.981688,0.0712562,0.0217169,-0.202492,-0.966933,10.0976,0.426412,-1.09476,-0.148098,8.773,-0.315444,10.2961,0.397747,-0.699838,-0.148098
75922,0.981688,0.071256,0.0217234,-0.189332,-0.983509,10.1058,0.426821,-1.09473,-0.147979,8.78616,-0.332021,10.3044,0.398156,-0.69981,-0.147979
76124,0.989694,0.0697513,0.0211631,-0.189332,-0.983509,10.1058,0.426821,-1.09473,-0.147979,8.85937,-0.345779,10.2993,0.398761,-0.696589,-0.147979
77342,0.989694,0.0697511,0.0211696,-0.186429,-0.989161,10.1158,0.427049,-1.09486,-0.147895,8.86227,-0.351432,10.3094,0.398989,-0.696721,-0.147895
78783,0.989694,0.0697509,0.0211761,-0.186145,-0.978234,10.1166,0.427177,-1.09488,-0.148099,8.86255,-0.340507,10.3102,0.399117,-0.69674,-0.148099
80060,0.992839,0.0780348,0.0208696,-0.186145,-0.978234,10.1166,0.427177,-1.09488,-0.148099,8.8913,-0.264768,10.3074,0.395785,-0.695475,-0.148099
80098,0.992839,0.0780348,0.0208696,-0.186145,-0.978234,10.1166,0.427177,-1.09488,-0.148099,8.8913,-0.264768,10.3074,0.395785,-0.695475,-0.148099
80221,0.992839,0.0780348,0.0208823,-0.21137,-0.958249,10.1204,0.426924,-1.0953,-0.147918,8.86608,-0.244783,10.3113,0.395531,-0.695889,-0.147918
81690,0.992839,0.0780348,0.020895,-0.240431,-0.945268,10.1237,0.42684,-1.09559,-0.147881,8.83702,-0.231802,10.3147,0.395448,-0.696186,-0.147881
83068,0.992839,0.0780348,0.0209077,-0.274939,-0.956054,10.1228,0.426958,-1.09625,-0.148014,8.80251,-0.242588,10.3139,0.395565,-0.696839,-0.148014
84007,0.989921,0.0798282,0.0163103,-0.274939,-0.956054,10.1228,0.426958,-1.09625,-0.148014,8.77583,-0.226191,10.2719,0.394844,-0.698013,-0.148014
84543,0.989921,0.0798282,0.016323,-0.299806,-0.96704,10.1278,0.427033,-1.09671,-0.148076,8.75096,-0.237178,10.2771,0.394919,-0.698477,-0.148076
85944,0.989921,0.0798282,0.0163357,-0.290288,-0.982126,10.1283,0.427303,-1.09688,-0.148101,8.76048,-0.252263,10.2776,0.395189,-0.698649,-0.148101
87400,0.989921,0.0798282,0.0163484,-0.251894,-0.981461,10.1303,0.427441,-1.09675,-0.148283,8.79888,-0.251598,10.2798,0.395327,-0.698514,-0.148283
87961,1.00273,0.0706424,0.0148856,-0.251894,-0.981461,10.1303,0.427441,-1.09675,-0.148283,8.91598,-0.335583,10.2664,0.399022,-0.693362,-0.148283
88803,1.00273,0.0706424,0.0148982,-0.22941,-0.945738,10.129,0.427089,-1.09663,-0.148354,8.93847,-0.29986,10.2652,0.39867,-0.693245,-0.148354
