time,ax,ay,az
2022825,-0.844971,-0.454346,0.0439453
2026775,-0.844971,-0.490479,0.163818
2030750,-0.769531,-0.365479,0.163818
2034664,-0.865723,-0.59375,0.0651855
2038610,-0.865723,-0.605957,0.048584
2042551,-0.871338,-0.543457,0.048584
2046479,-0.810303,-0.427734,0.0837402
2050414,-0.810303,-0.427734,0.107178
2054364,-0.798584,-0.325195,0.107178
2058301,-0.89502,-0.589355,0.0437012
2062246,-0.89502,-0.589355,0.0461426
2066177,-0.840332,-0.509766,0.0461426
2070128,-0.825439,-0.406738,0.0632324
2074067,-0.825439,-0.406738,0.065918
2078087,-0.804932,-0.29834,0.065918
2082028,-0.891357,-0.568604,0.0834961
2085969,-0.891357,-0.568604,0.0737305
2089942,-0.880371,-0.521484,0.0737305
2093859,-0.817627,-0.377686,0.0664062
2097799,-0.817627,-0.377686,0.09375
2101718,-0.840332,-0.336914,0.03125
2105659,-0.828613,-0.508545,0.109375
2109604,-0.891113,-0.508545,0.0656738
2113552,-0.83252,-0.529297,0.128174
2117499,-0.872559,-0.36792,0.0380859
2121488,-0.872559,-0.36792,0.0380859
2125422,-0.880615,-0.406738,-0.00341797
2129360,-0.876709,-0.44873,0.131104
2133284,-0.876709,-0.44873,0.131104
2137264,-0.845215,-0.499512,0.128418
2141156,-0.845215,-0.406982,-0.00756836
2145108,-0.906982,-0.406982,-0.00756836
2149046,-0.883789,-0.414307,0.0285645
2152982,-0.883789,-0.351074,0.116699
2156924,-0.855225,-0.351074,0.116699
2160875,-0.894043,-0.509277,0.100342
2164839,-0.894043,-0.419678,0.0290527
2168751,-0.901367,-0.419678,0.0290527
2172697,-0.896729,-0.395264,0.0490723
2176660,-0.896729,-0.394287,0.131104
2180568,-0.840088,-0.269287,0.131104
2184510,-0.914795,-0.508545,0.0949707
2188529,-0.914795,-0.549072,0.0495606
2192465,-0.911865,-0.424072,0.0495606
2196392,-0.868408,-0.316895,0.0703125
2200325,-0.868408,-0.373047,0.134277
2204276,-0.853027,-0.248047,0.134277
2208218,-0.935059,-0.482178,0.078125
2212155,-0.935059,-0.482178,0.0466309
2216130,-0.890137,-0.406982,0.0466309
2220044,-0.883301,-0.307373,0.032959
2223980,-0.883301,-0.307373,0.103516
2227921,-0.855469,-0.254883,0.103516
2231864,-0.935791,-0.473633,0.0686035
2235795,-0.935791,-0.473633,0.0317383
2239737,-0.91748,-0.392578,0.0317383
2243670,-0.885742,-0.282471,0.0341797
2247625,-0.885742,-0.282471,0.0241699
2251569,-0.887207,-0.259277,0.0866699
2255505,-0.922607,-0.400879,0.124268
2259454,-0.922607,-0.400879,0.119385
2263400,-0.915771,-0.394775,0.0568848
2267327,-0.924316,-0.0812988,0.0124512
2271287,-1.11182,-0.0812988,0.0417481
2275236,-0.88916,0.387695,-0.083252
