time,fx,fy,fz,tx,ty,tz
175192,-1.10726,-0.87913,10.1313,0.425901,-1.13602,-0.147278
176637,-1.56835,-0.826344,10.2873,0.416677,-1.18782,-0.147913
178055,-0.415838,-1.25034,10.1515,0.448183,-1.10516,-0.149068
179471,0.175583,-1.04606,10.1676,0.431336,-1.08646,-0.147209
180908,1.09011,-0.824161,10.0487,0.419241,-1.01906,-0.150401
182344,0.622152,-0.948568,9.94736,0.432484,-1.04388,-0.147636
183780,-0.464143,-0.69892,9.96767,0.411952,-1.10894,-0.148231
185195,-1.1332,-0.840601,10.1617,0.422666,-1.13662,-0.146832
186637,-1.69894,-0.938348,10.1648,0.427381,-1.19281,-0.146243
188075,-0.852315,-1.12302,10.1777,0.439122,-1.13314,-0.14835
189514,-0.186305,-0.998658,10.1249,0.429108,-1.10007,-0.146907
190947,0.471883,-0.889359,10.0043,0.42285,-1.05298,-0.149633
192363,0.164783,-0.915659,9.92957,0.429784,-1.06469,-0.146752
193800,-0.855819,-0.66288,10.0416,0.410093,-1.12674,-0.146751
195238,-1.39909,-0.830372,10.1466,0.422058,-1.14881,-0.14829
196671,-1.86819,-1.05203,10.1384,0.435926,-1.19554,-0.146
198096,-1.20505,-1.0407,10.258,0.432929,-1.15346,-0.146924
199528,-0.355127,-0.917819,10.1306,0.423273,-1.10471,-0.147845
201002,0.181464,-0.968305,10.0336,0.432224,-1.07042,-0.149074
202433,0.054431,-0.85915,10.0419,0.424251,-1.06758,-0.14748
203837,-0.907487,-0.615477,10.2308,0.408567,-1.13048,-0.147451
205302,-1.44365,-0.966228,10.3087,0.429536,-1.15538,-0.14878
206715,-1.74588,-1.01751,10.4248,0.43533,-1.18663,-0.146516
208136,-0.969256,-0.96462,10.4742,0.428706,-1.14517,-0.147629
209562,0.000749,-0.949883,10.3315,0.427917,-1.0903,-0.14941
210999,0.804327,-0.867065,10.1834,0.422023,-1.04364,-0.149928
212454,0.949962,-0.919368,10.2004,0.431748,-1.02663,-0.148836
213882,0.263119,-0.687194,10.2831,0.412198,-1.0622,-0.150407
215309,-0.638826,-0.958785,10.4272,0.42806,-1.11424,-0.150237
216751,-1.46449,-1.13663,10.3393,0.4447,-1.16645,-0.147221
218158,-1.40213,-0.711481,10.6622,0.409509,-1.16807,-0.148288
219600,-0.380497,-1.04793,10.3077,0.434327,-1.12246,-0.149611
221033,0.980265,-0.989896,10.202,0.433293,-1.04327,-0.149131
222494,1.89764,-0.732563,10.4067,0.411124,-0.98497,-0.148758
223903,1.86683,-1.06549,10.1336,0.437706,-0.985044,-0.148347
225320,0.620826,-1.02341,10.2627,0.432728,-1.04565,-0.150605
226764,-0.814287,-0.898615,10.1369,0.423284,-1.13426,-0.147133
228179,-1.22334,-0.848588,10.2951,0.426035,-1.1537,-0.14608
229626,-1.18969,-0.75376,10.1349,0.412814,-1.17935,-0.150339
231064,0.537466,-1.16638,9.97913,0.442968,-1.05192,-0.149695
232492,1.12197,-0.810008,10.1597,0.422492,-1.03953,-0.149021
233937,1.74473,-0.902355,9.98898,0.419776,-0.980983,-0.150358
235345,0.53674,-1.3739,9.90786,0.464881,-1.04411,-0.149951
236787,-0.854599,-0.599377,9.93301,0.402481,-1.13337,-0.147198
238221,-1.58907,-0.623949,10.0258,0.408298,-1.16407,-0.14667
239659,-1.93018,-1.02689,9.74858,0.437806,-1.21428,-0.148634
241078,-0.387597,-0.83446,9.91262,0.42011,-1.10302,-0.145535
242518,0.568252,-0.950782,9.96642,0.429696,-1.06362,-0.146149
243950,1.38613,-1.06189,9.84088,0.43728,-1.00634,-0.148668
245389,0.835485,-0.846349,9.95112,0.419986,-1.02906,-0.146399
246805,-0.39361,-0.86465,9.95354,0.429673,-1.10896,-0.145522
248243,-0.878617,-0.55927,10.064,0.404561,-1.13227,-0.146359
249674,-1.15388,-0.967239,9.97666,0.428206,-1.15934,-0.146145
251157,-0.280993,-1.25578,9.83242,0.452743,-1.11164,-0.144575
252584,0.607901,-0.636874,10.1636,0.404389,-1.05058,-0.145884
253996,0.738386,-1.03549,9.82522,0.435225,-1.05152,-0.148599
255404,0.585539,-1.05276,9.98833,0.441182,-1.03488,-0.146948
256877,-0.695569,-0.509975,10.2677,0.395033,-1.13175,-0.145254
258283,-0.823353,-1.3088,10.0666,0.457065,-1.12352,-0.14893
259702,-1.19066,-0.919244,10.2639,0.424919,-1.16222,-0.14701
261177,-0.182141,-0.891704,10.2156,0.421385,-1.10133,-0.145904
262576,0.491371,-1.2241,10.0089,0.448733,-1.05401,-0.146597
264008,0.438339,-0.695167,10.1985,0.409428,-1.0621,-0.150003
265448,-0.209157,-1.16259,10.0126,0.442086,-1.07307,-0.146643
266857,-1.73333,-1.01687,10.0444,0.437234,-1.17857,-0.146349
268297,-2.11361,-0.654263,10.2493,0.407161,-1.18426,-0.147697
269755,-2.58134,-0.933456,10.0074,0.431529,-1.23777,-0.146106
271180,-1.25953,-0.81745,10.1409,0.420267,-1.1492,-0.146318
272588,-0.249979,-0.752836,10.2872,0.411052,-1.09846,-0.146936
274053,0.392752,-1.18643,10.1806,0.448907,-1.05846,-0.149125
275471,-0.114574,-0.994455,10.395,0.431259,-1.05452,-0.146694
276902,-1.72473,-0.933838,10.2691,0.427033,-1.18058,-0.146928
278324,-2.19569,-0.778126,10.2008,0.423602,-1.18391,-0.147656
279766,-2.88284,-0.422262,10.3824,0.3946,-1.25302,-0.144651
281202,-1.47548,-0.947071,10.2744,0.431579,-1.16393,-0.147272
282640,-0.489241,-1.06452,10.446,0.435607,-1.10897,-0.148587
284082,0.221416,-1.00325,10.5264,0.427197,-1.06456,-0.149056
285482,-0.135793,-1.29152,10.2708,0.455425,-1.06221,-0.148304
286922,-1.78064,-0.695944,10.373,0.412386,-1.17883,-0.145837
288389,-2.15755,-0.625284,10.2104,0.408882,-1.18278,-0.148477
289821,-2.75174,-0.688219,10.3042,0.415189,-1.24694,-0.144129
291238,-1.44326,-0.853945,10.4622,0.417498,-1.16061,-0.146159
292673,-0.429038,-1.45137,10.3765,0.456158,-1.1039,-0.148003
294123,0.118039,-1.22425,10.3729,0.445129,-1.07348,-0.149188
295575,-0.15874,-0.944053,10.3484,0.426643,-1.06163,-0.147031
296991,-1.74516,-0.832896,10.1557,0.425401,-1.18009,-0.145974
298453,-2.06217,-0.49876,10.206,0.398827,-1.18019,-0.148952
299825,-2.56214,-0.710358,10.351,0.415534,-1.23674,-0.147071
301293,-1.06414,-0.943331,10.3602,0.42621,-1.14138,-0.147243
302695,0.053942,-1.35512,10.3932,0.450035,-1.08082,-0.147713
304127,0.5432,-1.12316,10.2152,0.445721,-1.05258,-0.149838
305581,0.382477,-0.656294,10.1612,0.405763,-1.03494,-0.14753
307003,-1.27619,-0.708808,9.92909,0.420479,-1.16046,-0.145964
308429,-1.51362,-0.430919,10.0804,0.400172,-1.1521,-0.147905
309847,-2.13152,-0.612421,10.3171,0.407083,-1.21898,-0.145252
311313,-0.759612,-1.31031,10.2591,0.456337,-1.12667,-0.147353
312740,0.268211,-1.15082,10.3092,0.435015,-1.07464,-0.148887
314155,0.843927,-1.02272,10.1653,0.434396,-1.04059,-0.148892
315600,0.6049,-0.88259,10.0368,0.430659,-1.02624,-0.147378
317029,-1.04264,-0.568267,9.99046,0.402923,-1.15109,-0.146183
318505,-1.39752,-0.763895,10.0919,0.419762,-1.14306,-0.148305
319885,-2.06522,-0.957959,10.1222,0.423701,-1.21882,-0.14657
321332,-0.649083,-1.22328,10.1168,0.443778,-1.12152,-0.147977
322747,0.336285,-1.16802,10.0923,0.443707,-1.07261,-0.147445
324170,1.04383,-0.704393,10.1104,0.408667,-1.03062,-0.148812
325616,0.904472,-1.12988,10.0373,0.443541,-1.01209,-0.14779
327023,-0.778921,-0.829784,10.016,0.421413,-1.13883,-0.14628
328473,-1.11551,-0.671506,10.3387,0.410611,-1.12933,-0.14766
329909,-1.85689,-1.16019,10.1496,0.442105,-1.20751,-0.145564
331347,-0.454426,-1.02454,10.1529,0.432925,-1.11323,-0.145943
332796,0.34145,-0.821623,10.2903,0.41665,-1.07059,-0.147107
334229,0.9092,-1.02166,9.98127,0.435385,-1.03493,-0.14937
335669,0.465797,-0.936396,10.1213,0.430006,-1.04187,-0.148345
337106,-0.881342,-0.900388,10.076,0.423788,-1.13854,-0.147701
338540,-1.22986,-0.84345,10.091,0.424292,-1.14119,-0.149101
339926,-1.85089,-0.617569,10.1967,0.407479,-1.20483,-0.147503
341368,-0.497247,-0.961018,10.006,0.433721,-1.11156,-0.147368
342827,0.384664,-0.843271,10.2065,0.419619,-1.072,-0.147643
344252,1.07056,-0.978022,10.1768,0.428666,-1.02187,-0.148411
345674,0.491492,-1.35277,9.99469,0.457726,-1.03616,-0.14659
347123,-0.907039,-0.771388,10.1126,0.412841,-1.14046,-0.146871
348542,-1.4023,-0.642666,9.97737,0.412413,-1.14691,-0.147408
349999,-2.02692,-0.785648,9.90778,0.421064,-1.21025,-0.145976
351392,-0.839075,-0.839093,9.97448,0.418942,-1.13135,-0.147928
352817,-0.238559,-1.08419,10.1255,0.438489,-1.09752,-0.148147
354264,0.300148,-1.21514,10.0191,0.438316,-1.06064,-0.149249
355700,-0.264897,-1.25328,9.99917,0.451193,-1.07592,-0.147413
357139,-1.51857,-0.81293,9.97464,0.418469,-1.17376,-0.147655
358564,-1.63685,-0.437539,10.0347,0.398717,-1.1586,-0.148558
360022,-1.94445,-0.919356,9.87074,0.429452,-1.20402,-0.146299
361425,-0.665776,-0.994042,9.88796,0.431544,-1.10911,-0.150099
362888,-0.430564,-0.911418,10.0845,0.424331,-1.11144,-0.148936
364301,-0.077547,-1.11712,9.96161,0.439143,-1.07734,-0.149232
365714,-0.71933,-1.00225,9.962,0.431975,-1.10541,-0.146638
367149,-1.5875,-0.598829,10.1089,0.409063,-1.17656,-0.147737
368600,-1.46147,-0.500322,10.2085,0.400386,-1.15706,-0.149043
370046,-1.06195,-1.01455,10.0605,0.432584,-1.158,-0.146385
371471,0.20247,-1.08332,10.1346,0.439627,-1.06804,-0.148957
372919,0.494212,-0.782538,10.2941,0.415142,-1.06307,-0.148237
374303,0.624537,-0.983126,10.1274,0.431868,-1.04422,-0.149293
375729,-0.18912,-1.05537,10.156,0.441184,-1.08536,-0.147527
377176,-0.968765,-0.625837,10.2637,0.404364,-1.14352,-0.146284
378610,-1.12821,-0.766913,10.3777,0.416979,-1.14306,-0.149033
380040,-0.797787,-1.13846,10.2108,0.437569,-1.15329,-0.147476
381468,0.676706,-1.09421,10.2669,0.438408,-1.04779,-0.148948
382910,1.26034,-0.845285,10.456,0.417733,-1.02775,-0.147544
384349,1.56487,-1.09731,10.1867,0.435769,-0.995962,-0.149953
385755,0.614974,-1.31385,10.104,0.455184,-1.04337,-0.149152
387188,-0.41256,-0.682904,10.2356,0.407503,-1.11396,-0.146578
388638,-0.919151,-0.856229,10.1199,0.423934,-1.13587,-0.14865
390072,-1.01749,-1.09055,9.96149,0.438192,-1.15722,-0.147315
391478,0.31022,-0.819956,9.95253,0.419077,-1.07191,-0.149569
392925,0.847146,-0.809827,10.0248,0.420655,-1.04689,-0.148848
394385,1.06679,-1.08542,9.79621,0.436118,-1.02303,-0.150016
395790,0.245965,-1.12558,9.87542,0.440106,-1.05621,-0.148656
397246,-0.888168,-0.81639,9.85356,0.419056,-1.14362,-0.148248
398651,-1.02852,-0.641053,9.9285,0.411021,-1.1331,-0.147164
400118,-1.09237,-0.923059,9.612,0.425745,-1.16736,-0.145613
401554,0.244994,-0.937325,9.57279,0.431548,-1.06591,-0.151184
402974,0.508663,-0.62752,9.61396,0.408519,-1.06317,-0.148738
404425,0.689131,-1.05532,9.38781,0.43188,-1.03262,-0.149675
405882,-0.557772,-1.21612,9.40027,0.448228,-1.1005,-0.148008
407277,-1.87132,-0.629714,9.624,0.406805,-1.18099,-0.147523
408692,-2.60213,-0.659012,9.77782,0.409932,-1.21576,-0.146705
410116,-2.73511,-1.16944,9.47853,0.445099,-1.24134,-0.147225
411572,-1.32435,-0.835387,9.54142,0.415854,-1.15181,-0.149979
413000,-0.362883,-0.869422,9.69481,0.422033,-1.10241,-0.148825
414433,0.158875,-1.31056,9.32707,0.443185,-1.05649,-0.15037
415858,-0.636096,-1.16078,9.58597,0.443516,-1.09211,-0.149779
417275,-2.05193,-0.65668,9.85302,0.405452,-1.194,-0.148271
418733,-2.45827,-0.994294,9.76561,0.43451,-1.20216,-0.148036
420159,-2.5299,-0.946769,9.96764,0.426664,-1.23388,-0.146171
421588,-0.937334,-0.783872,9.99059,0.415113,-1.13136,-0.151783
423000,-0.184236,-1.09443,9.95451,0.439578,-1.09614,-0.150352
424446,0.466942,-1.02563,10.1248,0.427825,-1.04643,-0.151156
425909,-0.036384,-1.00252,10.0629,0.431664,-1.06447,-0.150247
427341,-1.44135,-0.943013,10.293,0.428496,-1.16203,-0.149251
428734,-1.91415,-0.765149,10.2723,0.415448,-1.17248,-0.147751
430204,-2.32658,-1.00151,10.2926,0.43303,-1.22499,-0.147372
431650,-0.972249,-0.867012,10.1848,0.416841,-1.13895,-0.150281
433064,0.010802,-0.950854,10.265,0.428982,-1.08777,-0.14815
434468,0.869467,-1.10676,10.072,0.433762,-1.03241,-0.149746
435902,0.594074,-1.01817,10.1638,0.433248,-1.04103,-0.150518
437333,-0.743867,-0.895463,10.1481,0.422987,-1.11747,-0.148367
438782,-1.69996,-0.864644,10.0915,0.422293,-1.17117,-0.147073
440189,-2.06473,-0.773861,10.1772,0.417763,-1.19988,-0.147808
441664,-1.47147,-0.791399,10.1311,0.41627,-1.18079,-0.149566
443067,-0.196712,-1.01145,10.0912,0.434229,-1.08806,-0.149073
444530,0.302975,-1.1017,10.0432,0.431771,-1.06686,-0.147566
445923,0.311353,-1.23917,9.85118,0.449638,-1.05008,-0.150663
447361,-1.10414,-0.825799,9.87801,0.418571,-1.13227,-0.147271
448818,-1.95196,-0.685095,9.71153,0.411331,-1.18596,-0.146466
450234,-2.21132,-0.732918,9.78501,0.419724,-1.2038,-0.14655
451680,-1.68297,-0.529479,9.91473,0.400327,-1.19625,-0.150278
453085,-0.057855,-1.10171,9.88609,0.43973,-1.07634,-0.148796
454524,0.396398,-1.23652,9.85649,0.446062,-1.07161,-0.147749
455958,0.906259,-0.909895,9.77643,0.425013,-1.0153,-0.150892
457394,-0.529752,-0.685878,9.8392,0.414162,-1.11137,-0.148328
458815,-1.22286,-0.537025,9.60713,0.406116,-1.1465,-0.148772
460251,-1.52811,-0.517029,9.92573,0.406632,-1.16862,-0.146872
461718,-0.947356,-0.755845,9.94924,0.412193,-1.16436,-0.15051
463168,0.634322,-1.3196,9.9862,0.452635,-1.03482,-0.150551
464557,0.777047,-1.35731,9.83136,0.451335,-1.06424,-0.148589
465980,1.4018,-0.861916,9.78644,0.424663,-0.980051,-0.150252
467408,-0.475112,-0.608541,9.7518,0.409963,-1.12313,-0.145539
468852,-0.858286,-0.650636,9.47699,0.410586,-1.1189,-0.147435
470283,-1.65685,-0.746468,9.78377,0.420328,-1.18339,-0.144382
471716,-1.0214,-0.89095,9.7935,0.415474,-1.15191,-0.148399
473156,-0.185879,-1.35844,9.86243,0.455957,-1.07601,-0.14803
474585,-0.48554,-1.27811,9.71947,0.448333,-1.1241,-0.149503
475995,-0.291579,-0.543949,10.0289,0.402095,-1.06749,-0.152739
477440,-1.60065,-0.82398,9.94569,0.419342,-1.19357,-0.148302
478915,-0.94554,-1.09504,9.81566,0.4406,-1.10712,-0.150161
480337,-1.46317,-0.737407,10.1807,0.412975,-1.19463,-0.14726
481746,-0.184982,-1.17588,9.97492,0.438799,-1.07813,-0.150976
483166,-0.323019,-1.22103,9.82768,0.447052,-1.11417,-0.146944
484617,0.316896,-0.683936,9.92245,0.409911,-1.05903,-0.14687
486069,-0.257968,-0.612322,9.98839,0.408518,-1.08827,-0.146908
487502,-1.09743,-0.823314,10.1607,0.422614,-1.14735,-0.147878
488912,-1.25125,-1.05431,10.2111,0.435449,-1.1415,-0.147624
490334,-1.34503,-1.01179,10.3955,0.430432,-1.17844,-0.148041
491765,0.020008,-1.02212,10.1389,0.432033,-1.0759,-0.150837
493208,0.320417,-0.907051,9.92737,0.424402,-1.07716,-0.147533
494629,0.760269,-0.937832,9.941,0.428881,-1.02876,-0.149761
