time,fx,fy,fz,tx,ty,tz
340914,-0.079154,-0.996434,9.99189,0.430273,-1.08894,-0.148377
342358,-0.108405,-1.06266,10.0146,0.43106,-1.09193,-0.149011
343764,-0.342739,-0.969507,10.032,0.427017,-1.1028,-0.148209
345229,-0.497543,-0.957656,10.0792,0.42783,-1.11391,-0.148502
346645,-0.438511,-1.0116,10.0335,0.430385,-1.10581,-0.148406
348080,-0.425956,-0.958313,10.0853,0.427499,-1.10956,-0.148921
349498,-0.222013,-1.0382,10.0627,0.430863,-1.09479,-0.147953
350938,-0.200015,-1.05015,10.0407,0.433991,-1.09773,-0.148018
352372,-0.249876,-0.951356,10.0704,0.42535,-1.09655,-0.147015
353809,-0.588718,-0.940079,10.0272,0.426622,-1.11728,-0.147977
355224,-0.599049,-0.916479,10.0022,0.42471,-1.11413,-0.148894
356665,-0.629017,-0.903738,10.0732,0.425586,-1.12178,-0.147927
358098,-0.413985,-0.936466,10.0253,0.426855,-1.10567,-0.14791
359561,-0.230922,-0.916592,10.0221,0.424193,-1.0972,-0.14841
360963,-0.218298,-0.913207,10.0065,0.424434,-1.09825,-0.148711
362396,-0.221626,-0.861892,9.98369,0.42263,-1.09408,-0.14804
363825,-0.381123,-0.829819,9.95419,0.419939,-1.10501,-0.148151
365260,-0.553398,-0.90619,9.93304,0.424536,-1.10974,-0.148844
366673,-0.711503,-0.928672,9.88244,0.424266,-1.12215,-0.148462
368113,-0.746899,-0.909374,9.89024,0.425648,-1.12114,-0.148542
369570,-0.822381,-0.92064,9.83806,0.425832,-1.12542,-0.148434
371009,-0.792175,-0.852952,9.85195,0.421326,-1.12533,-0.148317
372404,-0.723223,-0.89343,9.85969,0.422942,-1.12053,-0.148067
373879,-0.64445,-0.929271,9.90527,0.427025,-1.11423,-0.148165
375292,-0.791181,-0.931048,9.94356,0.424577,-1.12412,-0.148734
376752,-0.931382,-1.00481,9.95446,0.430493,-1.13204,-0.148653
378175,-0.883357,-0.960058,9.91615,0.427877,-1.12783,-0.147915
379605,-0.84089,-0.867632,9.9067,0.424091,-1.1302,-0.14825
381054,-0.720675,-0.876718,9.87534,0.424244,-1.12047,-0.147918
382486,-0.677916,-0.892925,9.88201,0.423326,-1.11651,-0.148051
383871,-0.77707,-0.926318,9.92912,0.426152,-1.12063,-0.148204
385299,-1.00385,-0.951114,9.93994,0.427942,-1.13744,-0.148253
386738,-1.12309,-0.923365,9.92493,0.425577,-1.13844,-0.148171
388178,-1.20137,-0.85496,9.98553,0.421685,-1.14771,-0.148376
389597,-0.937318,-0.84677,9.9975,0.420748,-1.13247,-0.14848
391043,-0.669355,-0.835865,10.0326,0.420064,-1.11766,-0.148433
392471,-0.520586,-0.940417,10.0707,0.425643,-1.11123,-0.148602
393911,-0.442779,-0.988051,10.0786,0.429575,-1.09932,-0.148167
395339,-0.851332,-0.967888,10.0592,0.42644,-1.12869,-0.148588
396797,-1.10082,-0.913934,10.0379,0.424795,-1.13718,-0.148586
398206,-1.24728,-0.920888,9.99623,0.4247,-1.14874,-0.147273
399641,-1.14803,-0.901569,10.0689,0.422377,-1.14169,-0.148284
401074,-0.850999,-0.962377,10.066,0.426506,-1.12921,-0.149113
402527,-0.635907,-1.04457,10.1045,0.431378,-1.11521,-0.148224
403955,-0.570791,-1.04209,10.1876,0.43309,-1.1117,-0.148426
405403,-0.696905,-0.970658,10.1178,0.426413,-1.11746,-0.148836
406836,-0.882078,-0.960745,10.1124,0.428339,-1.1319,-0.149185
408271,-0.842564,-0.941145,10.0822,0.425653,-1.12692,-0.14816
409668,-0.64807,-0.980844,10.0738,0.42732,-1.11842,-0.147881
411119,-0.547349,-1.00517,10.0953,0.430847,-1.11201,-0.148553
412540,-0.580934,-1.00246,10.1039,0.430709,-1.11326,-0.148127
413949,-0.739964,-1.03074,10.1128,0.431254,-1.12135,-0.148434
415387,-0.911539,-0.951876,10.0522,0.428038,-1.13207,-0.14883
416821,-1.00912,-0.935997,10.0836,0.425069,-1.13406,-0.148198
418284,-0.952039,-0.975295,10.0374,0.427151,-1.13547,-0.148839
419678,-0.660079,-0.955695,10.0334,0.427188,-1.11654,-0.149218
421116,-0.575366,-0.91373,10.0255,0.425815,-1.11328,-0.148618
422544,-0.545156,-0.976288,10.0178,0.428313,-1.10736,-0.148736
424020,-0.793497,-0.934291,9.99719,0.426973,-1.12575,-0.148947
425436,-0.95774,-0.896743,9.96056,0.423689,-1.13117,-0.148357
426850,-1.04113,-0.920543,9.97071,0.423305,-1.13711,-0.147396
428282,-0.851261,-0.925385,9.93861,0.425837,-1.1309,-0.147814
429732,-0.507213,-0.947379,9.91892,0.428157,-1.10963,-0.148633
431140,-0.414476,-0.920187,9.9475,0.427918,-1.10672,-0.14919
432574,-0.341462,-0.946516,9.96308,0.425519,-1.10131,-0.148143
434015,-0.379264,-0.928474,9.88094,0.42886,-1.10295,-0.147812
435446,-0.646991,-0.860374,9.92627,0.422583,-1.11805,-0.148703
436862,-0.784905,-0.859862,9.89799,0.422784,-1.12808,-0.148426
438309,-0.609076,-0.950489,9.87447,0.426059,-1.11753,-0.148393
439744,-0.30791,-0.931545,9.93298,0.425431,-1.10237,-0.147819
441186,-0.113546,-0.965564,9.90683,0.427598,-1.09058,-0.148983
442616,-0.157221,-0.950841,9.90139,0.42872,-1.09339,-0.148046
444038,-0.318901,-0.908129,9.84,0.423727,-1.09883,-0.148412
445468,-0.558195,-0.900114,9.83627,0.42505,-1.11604,-0.147941
446904,-0.601674,-0.848869,9.9048,0.422216,-1.1148,-0.147422
448344,-0.558091,-0.892961,9.92572,0.42251,-1.11983,-0.148933
449785,-0.208601,-0.921997,9.91544,0.426721,-1.09724,-0.148809
451200,-0.041327,-0.860112,9.97382,0.423059,-1.09078,-0.148716
452645,0.116471,-0.884978,9.91889,0.423404,-1.07919,-0.148693
454075,0.083432,-0.904028,9.93592,0.426527,-1.08096,-0.14826
455487,-0.170224,-0.816675,9.96589,0.418478,-1.09408,-0.14877
456920,-0.385691,-0.840524,9.92502,0.424218,-1.10828,-0.1482
458366,-0.351287,-0.876984,9.91674,0.423728,-1.10736,-0.148499
459800,-0.068879,-0.856572,9.99726,0.421164,-1.09082,-0.148139
