seq,Fx,Fy,Fz,Mx,My,Mz
103,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
104,-0.310362,-0.252372,-4.99334,-0.0136758,0.0341023,-0.00290906
105,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
106,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
107,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
108,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
109,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
110,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
111,-0.275126,-0.237165,-4.9831,-0.0109336,0.032857,-0.00628233
112,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
113,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
114,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
115,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
116,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
117,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
118,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
119,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
120,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
121,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
122,-0.27814,-0.228725,-4.97797,-0.0100683,0.0315245,-0.00630172
123,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
124,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
125,-0.290403,-0.228493,-4.98097,-0.0116802,0.0344466,-0.00515861
126,-0.292301,-0.223556,-4.96934,-0.00873276,0.0347549,-0.00749621
127,-0.288257,-0.238981,-4.97766,-0.0122438,0.0330171,-0.00413266
128,-0.289419,-0.245921,-5.00932,-0.0134806,0.0306226,-0.00340372
129,-0.296384,-0.236881,-4.96509,-0.00818811,0.0346731,-0.00682028
130,-0.289378,-0.258522,-5.00655,-0.0126019,0.0320662,-0.00421144
131,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
132,-0.282515,-0.239097,-4.98003,-0.00887951,0.036086,-0.00592334
133,-0.293064,-0.242824,-4.99994,-0.0140497,0.0297185,-0.00355391
134,-0.305969,-0.242593,-4.9833,-0.0118734,0.0358487,-0.00492118
135,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
136,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
137,-0.281104,-0.240856,-4.97673,-0.0105223,0.0323602,-0.00635486
138,-0.287037,-0.251737,-5.00349,-0.0135796,0.0316568,-0.00429103
139,-0.288079,-0.226366,-4.96847,-0.00958502,0.0347633,-0.00682209
140,-0.292081,-0.248926,-4.99669,-0.0124699,0.0316819,-0.00398217
141,-0.300252,-0.242157,-4.99367,-0.011503,0.0326118,-0.00507713
142,-0.286157,-0.235979,-4.97059,-0.00945163,0.0351786,-0.00607299
143,-0.292065,-0.25685,-5.0033,-0.014663,0.0324001,-0.0032102
144,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
145,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
146,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
147,-0.284127,-0.230359,-4.97236,-0.00970153,0.0338232,-0.00639896
148,-0.310362,-0.252372,-4.99334,-0.0136758,0.0341023,-0.00290906
149,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
150,-0.284127,-0.230359,-4.97236,-0.00970153,0.0338232,-0.00639896
151,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
152,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
153,-0.27814,-0.228725,-4.97797,-0.0100683,0.0315245,-0.00630172
154,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
155,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
156,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
157,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
158,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
159,-0.28555,-0.240658,-4.98091,-0.0101769,0.0326811,-0.00513777
160,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
161,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
162,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
163,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
164,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
165,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
166,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
167,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
168,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
169,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
170,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
171,-0.276242,-0.238339,-4.98018,-0.00993851,0.0319425,-0.00554997
172,-0.289482,-0.236668,-4.97698,-0.0100571,0.0336215,-0.00556288
173,-0.27814,-0.228725,-4.97797,-0.0100683,0.0315245,-0.00630172
174,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
175,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
176,-0.280851,-0.227064,-4.97475,-0.0121361,0.0318615,-0.00529647
177,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
178,-0.301999,-0.248628,-4.98643,-0.0119422,0.0321236,-0.00447498
179,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
180,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
